table,description,csv_file,xlsx_file,n_rows,n_columns
Table S1,TableS01_Datasets_and_analysis_,TableS01_TableS01_Datasets_and_analysis_.csv,TableS01_TableS01_Datasets_and_analysis_.xlsx,5,5
Table S2,TableS02_Available_block_FOV_co,TableS02_TableS02_Available_block_FOV_co.csv,TableS02_TableS02_Available_block_FOV_co.xlsx,7,6
Table S3,TableS03_F1_6_discovery_derived,TableS03_TableS03_F1_6_discovery_derived.csv,TableS03_TableS03_F1_6_discovery_derived.xlsx,39,3
Table S4,TableS04_GDC_discovery_derived_,TableS04_TableS04_GDC_discovery_derived_.csv,TableS04_TableS04_GDC_discovery_derived_.xlsx,3,7
Table S5,TableS05_GSE10846_discovery_der,TableS05_TableS05_GSE10846_discovery_der.csv,TableS05_TableS05_GSE10846_discovery_der.xlsx,4,8
Table S6,TableS06_Composition_adjusted_r,TableS06_TableS06_Composition_adjusted_r.csv,TableS06_TableS06_Composition_adjusted_r.xlsx,5,6
Table S7,TableS07_Proliferation_adjusted,TableS07_TableS07_Proliferation_adjusted.csv,TableS07_TableS07_Proliferation_adjusted.xlsx,2,7
Table S8,TableS08_COO_counts_proportions,TableS08_TableS08_COO_counts_proportions.csv,TableS08_TableS08_COO_counts_proportions.xlsx,4,7
Table S9,TableS09_External_immune_contex,TableS09_TableS09_External_immune_contex.csv,TableS09_TableS09_External_immune_contex.xlsx,5,5
Table S10,TableS10_Exploratory_Cox_regres,TableS10_TableS10_Exploratory_Cox_regres.csv,TableS10_TableS10_Exploratory_Cox_regres.xlsx,5,7
Table S11,TableS11_Within_COO_correlation,TableS11_TableS11_Within_COO_correlation.csv,TableS11_TableS11_Within_COO_correlation.xlsx,6,5
Table S12,TableS12_External_immune_contex,TableS12_TableS12_External_immune_contex.csv,TableS12_TableS12_External_immune_contex.xlsx,5,5
Table S13,TableS13_External_immune_contex,TableS13_TableS13_External_immune_contex.csv,TableS13_TableS13_External_immune_contex.xlsx,3,3
Table S14,TableS14_LME_like_proxy_program,TableS14_TableS14_LME_like_proxy_program.csv,TableS14_TableS14_LME_like_proxy_program.xlsx,6,6
Table S15,TableS15_Closest_LME_like_proxy,TableS15_TableS15_Closest_LME_like_proxy.csv,TableS15_TableS15_Closest_LME_like_proxy.xlsx,3,5
Table S16,TableS16_Integrated_external_im,TableS16_TableS16_Integrated_external_im.csv,TableS16_TableS16_Integrated_external_im.xlsx,3,4
Table S17,TableS17_Schmitz_genetic_subtyp,TableS17_TableS17_Schmitz_genetic_subtyp.csv,TableS17_TableS17_Schmitz_genetic_subtyp.xlsx,4,11
Table S18,TableS18_Discovery_derived_sign,TableS18_TableS18_Discovery_derived_sign.csv,TableS18_TableS18_Discovery_derived_sign.xlsx,3,3
Table S19,TableS19_Within_Schmitz_genetic,TableS19_TableS19_Within_Schmitz_genetic.csv,TableS19_TableS19_Within_Schmitz_genetic.xlsx,6,7
Table S20,TableS20_GSE31312_validation_su,TableS20_TableS20_GSE31312_validation_su.csv,TableS20_TableS20_GSE31312_validation_su.xlsx,7,2
Table S21,TableS21_GSE31312_discovery_der,TableS21_TableS21_GSE31312_discovery_der.csv,TableS21_TableS21_GSE31312_discovery_der.xlsx,3,4
Table S22,TableS22_GSE31312_macrophage_ri,TableS22_TableS22_GSE31312_macrophage_ri.csv,TableS22_TableS22_GSE31312_macrophage_ri.xlsx,4,5
Table S23,TableS23_Spatial_bootstrap_cent,TableS23_TableS23_Spatial_bootstrap_cent.csv,TableS23_TableS23_Spatial_bootstrap_cent.xlsx,3,13
Table S24,TableS24_Spatial_alternative_k_,TableS24_TableS24_Spatial_alternative_k_.csv,TableS24_TableS24_Spatial_alternative_k_.xlsx,9,6
Table S25,TableS25_Combined_GDC_GSE10846_,TableS25_TableS25_Combined_GDC_GSE10846_.csv,TableS25_TableS25_Combined_GDC_GSE10846_.xlsx,10,5
Table S26,TableS26_GSE31312_reconstructed,TableS26_TableS26_GSE31312_reconstructed.csv,TableS26_TableS26_GSE31312_reconstructed.xlsx,3,3
Table S27,TableS27_GSE31312_sample_level_,TableS27_TableS27_GSE31312_sample_level_.csv,TableS27_TableS27_GSE31312_sample_level_.xlsx,498,10
