table_id,description,csv_file,xlsx_file
Table S1,TableS01_Datasets_and_analysis_,TableS01_TableS01_Datasets_and_analysis_.csv,TableS01_TableS01_Datasets_and_analysis_.xlsx
Table S2,TableS02_Available_block_FOV_co,TableS02_TableS02_Available_block_FOV_co.csv,TableS02_TableS02_Available_block_FOV_co.xlsx
Table S3,TableS03_F1_6_discovery_derived,TableS03_TableS03_F1_6_discovery_derived.csv,TableS03_TableS03_F1_6_discovery_derived.xlsx
Table S4,TableS04_GDC_discovery_derived_,TableS04_TableS04_GDC_discovery_derived_.csv,TableS04_TableS04_GDC_discovery_derived_.xlsx
Table S5,TableS05_GSE10846_discovery_der,TableS05_TableS05_GSE10846_discovery_der.csv,TableS05_TableS05_GSE10846_discovery_der.xlsx
Table S6,TableS06_Composition_adjusted_r,TableS06_TableS06_Composition_adjusted_r.csv,TableS06_TableS06_Composition_adjusted_r.xlsx
Table S7,TableS07_Proliferation_adjusted,TableS07_TableS07_Proliferation_adjusted.csv,TableS07_TableS07_Proliferation_adjusted.xlsx
Table S8,TableS08_COO_counts_proportions,TableS08_TableS08_COO_counts_proportions.csv,TableS08_TableS08_COO_counts_proportions.xlsx
Table S9,TableS09_External_immune_contex,TableS09_TableS09_External_immune_contex.csv,TableS09_TableS09_External_immune_contex.xlsx
Table S10,TableS10_Exploratory_Cox_regres,TableS10_TableS10_Exploratory_Cox_regres.csv,TableS10_TableS10_Exploratory_Cox_regres.xlsx
Table S11,TableS11_Within_COO_correlation,TableS11_TableS11_Within_COO_correlation.csv,TableS11_TableS11_Within_COO_correlation.xlsx
Table S12,TableS12_External_immune_contex,TableS12_TableS12_External_immune_contex.csv,TableS12_TableS12_External_immune_contex.xlsx
Table S13,TableS13_External_immune_contex,TableS13_TableS13_External_immune_contex.csv,TableS13_TableS13_External_immune_contex.xlsx
Table S14,TableS14_LME_like_proxy_program,TableS14_TableS14_LME_like_proxy_program.csv,TableS14_TableS14_LME_like_proxy_program.xlsx
Table S15,TableS15_Closest_LME_like_proxy,TableS15_TableS15_Closest_LME_like_proxy.csv,TableS15_TableS15_Closest_LME_like_proxy.xlsx
Table S16,TableS16_Integrated_external_im,TableS16_TableS16_Integrated_external_im.csv,TableS16_TableS16_Integrated_external_im.xlsx
Table S17,TableS17_Schmitz_genetic_subtyp,TableS17_TableS17_Schmitz_genetic_subtyp.csv,TableS17_TableS17_Schmitz_genetic_subtyp.xlsx
Table S18,TableS18_Discovery_derived_sign,TableS18_TableS18_Discovery_derived_sign.csv,TableS18_TableS18_Discovery_derived_sign.xlsx
Table S19,TableS19_Within_Schmitz_genetic,TableS19_TableS19_Within_Schmitz_genetic.csv,TableS19_TableS19_Within_Schmitz_genetic.xlsx
Table S20,TableS20_GSE31312_validation_su,TableS20_TableS20_GSE31312_validation_su.csv,TableS20_TableS20_GSE31312_validation_su.xlsx
Table S21,TableS21_GSE31312_discovery_der,TableS21_TableS21_GSE31312_discovery_der.csv,TableS21_TableS21_GSE31312_discovery_der.xlsx
Table S22,TableS22_GSE31312_macrophage_ri,TableS22_TableS22_GSE31312_macrophage_ri.csv,TableS22_TableS22_GSE31312_macrophage_ri.xlsx
Table S23,TableS23_Spatial_bootstrap_cent,TableS23_TableS23_Spatial_bootstrap_cent.csv,TableS23_TableS23_Spatial_bootstrap_cent.xlsx
Table S24,TableS24_Spatial_alternative_k_,TableS24_TableS24_Spatial_alternative_k_.csv,TableS24_TableS24_Spatial_alternative_k_.xlsx
Table S25,TableS25_Combined_GDC_GSE10846_,TableS25_TableS25_Combined_GDC_GSE10846_.csv,TableS25_TableS25_Combined_GDC_GSE10846_.xlsx
Table S26,TableS26_GSE31312_reconstructed,TableS26_TableS26_GSE31312_reconstructed.csv,TableS26_TableS26_GSE31312_reconstructed.xlsx
Table S27,TableS27_GSE31312_sample_level_,TableS27_TableS27_GSE31312_sample_level_.csv,TableS27_TableS27_GSE31312_sample_level_.xlsx
Table S28,TableS28_TMEbenchmark_integrate,TableS28_TableS28_TMEbenchmark_integrate.csv,TableS28_TableS28_TMEbenchmark_integrate.xlsx
Table S29,TableS29_TMEbenchmark_integrate,TableS29_TableS29_TMEbenchmark_integrate.csv,TableS29_TableS29_TMEbenchmark_integrate.xlsx
Table S30,TableS30_TMEbenchmark_integrate,TableS30_TableS30_TMEbenchmark_integrate.csv,TableS30_TableS30_TMEbenchmark_integrate.xlsx
Table S31,TableS31_GSE31312_sample_level_,TableS31_TableS31_GSE31312_sample_level_.csv,TableS31_TableS31_GSE31312_sample_level_.xlsx
Table S32,TableS32_CIBERSORT_LM22_inspire,TableS32_TableS32_CIBERSORT_LM22_inspire.csv,TableS32_TableS32_CIBERSORT_LM22_inspire.xlsx
Table S33,TableS33_F1_6_cell_level_annota,TableS33_TableS33_F1_6_cell_level_annota.csv,TableS33_TableS33_F1_6_cell_level_annota.xlsx
Table S34,TableS34_spatial_neighborhood_s,TableS34_TableS34_spatial_neighborhood_s.csv,TableS34_TableS34_spatial_neighborhood_s.xlsx
Table S35,TableS35_spatial_neighborhood_s,TableS35_TableS35_spatial_neighborhood_s.csv,TableS35_TableS35_spatial_neighborhood_s.xlsx
Table S36,TableS36_spatial_neighborhood_s,TableS36_TableS36_spatial_neighborhood_s.csv,TableS36_TableS36_spatial_neighborhood_s.xlsx
Table S37,TableS37_spatial_neighborhood_p,TableS37_TableS37_spatial_neighborhood_p.csv,TableS37_TableS37_spatial_neighborhood_p.xlsx
Table S38,TableS38_spatial_LR_candidate_g,TableS38_TableS38_spatial_LR_candidate_g.csv,TableS38_TableS38_spatial_LR_candidate_g.xlsx
Table S39,TableS39_spatial_LR_gene_expres,TableS39_TableS39_spatial_LR_gene_expres.csv,TableS39_TableS39_spatial_LR_gene_expres.xlsx
